term,ngram,total_frequency,article_count
heads,1,2,2
health care experts,3,2,2
health increasing,2,2,2
health professionals,2,2,2
health secretary streeting,3,2,2
health semh,2,2,2
hear already,2,2,2
hear already ehcps,3,2,2
heard families,2,2,2
heard hand,2,2,2
heard hand struggles,3,2,2
heard included schools,3,2,2
heard parents,2,2,2
hearings,1,2,2
heart everything,2,2,2
heartbreaking,1,2,2
held accountable,2,2,2
helen dodd,2,2,2
help getting,2,2,2
help prevent,2,2,2
help send,2,2,2
help students,2,2,2
help support pupils,3,2,2
help tackle racism,3,2,2
helpful,1,2,2
helpful system,2,2,2
helpful system medicalised,3,2,2
helping children,2,2,2
helping make,2,2,2
helps,1,2,2
hence,1,2,2
here changes,2,2,2
here changes announced,3,2,2
here need,2,2,2
hers duty,2,2,2
hers duty inclusive,3,2,2
hesitate,1,2,2
hidden,1,2,2
hiding,1,2,2
high interest rates,3,2,2
high level,2,2,2
high needs block,3,2,2
high quality,2,2,2
high school sixth,3,2,2
high security,2,2,2
high security prison,3,2,2
high standards inclusion,3,2,2
high-level,1,2,2
high-needs deficits,2,2,2
high-quality education,2,2,2
high-quality training,2,2,2
higher education policy,3,2,2
higher proportion,2,2,2
higher training,2,2,2
highest decade,2,2,2
highest levels,2,2,2
highest number,2,2,2
highest tier,2,2,2
highest tier support,3,2,2
highlight,1,2,2
highlighting,1,2,2
highly anticipated,2,2,2
highly anticipated parents,3,2,2
hinder,1,2,2
hinder progress,2,2,2
hinder progress strategy,3,2,2
hire,1,2,2
hired,1,2,2
historic send deficits,3,2,2
historical,1,2,2
hold ehcps,2,2,2
holding,1,2,2
holds,1,2,2
hole parents,2,2,2
hole parents needed,3,2,2
holidays,1,2,2
holly jessica,2,2,2
holly wells,2,2,2
holly wells jessica,3,2,2
home affairs,2,2,2
home affairs spokesman,3,2,2
home almost,2,2,2
home alongside,2,2,2
home alongside peers,3,2,2
home education,2,2,2
home full,2,2,2
home full plans,3,2,2
home life,2,2,2
home school transport,3,2,2
home-to-school transport problematic,3,2,2
hoped white,2,2,2
hoped white paper,3,2,2
hopeful,1,2,2
hopes achieve,2,2,2
hopes achieve government,3,2,2
hopes changes,2,2,2
hopes changes mean,3,2,2
hopes government,2,2,2
hopgood chair,2,2,2
hoping government,2,2,2
hoping government reforms,3,2,2
host,1,2,2
hosts,1,2,2
hours week,2,2,2
house lords,2,2,2
household,1,2,2
households england,2,2,2
housing communities,2,2,2
housing communities local,3,2,2
however clear,2,2,2
however clear enforceable,3,2,2
however given,2,2,2
however only,2,2,2
however only children,3,2,2
however school,2,2,2
however some,2,2,2
https educationhub,2,2,2
https educationhub blog,3,2,2
hubs every,2,2,2
huge increase,2,2,2
hughes,1,2,2
human beings,2,2,2
human rights,2,2,2
hyperactivity,1,2,2
hyperactivity disorder,2,2,2
idea children,2,2,2
idea even,2,2,2
idea even thinking,3,2,2
idea going,2,2,2
idea going reassessed,3,2,2
ideal,1,2,2
ideas email,2,2,2
ideas email whatsapp,3,2,2
identified having special,3,2,2
identified number glaring,3,2,2
identified rather,2,2,2
identified rather only,3,2,2
identify meet,2,2,2
identify pupil,2,2,2
identify pupil needs,3,2,2
identifying,1,2,2
illegally,1,2,2
illness,1,2,2
illustrate,1,2,2
immediate aftermath,2,2,2
imminent white,2,2,2
imminent white paper,3,2,2
implement changes,2,2,2
implementation,1,2,2
implication,1,2,2
important children,2,2,2
important legal,2,2,2
important legal backstop,3,2,2
important part system,3,2,2
important role,2,2,2
important role play,3,2,2
important step,2,2,2
important step forward,3,2,2
important take,2,2,2
importantly,1,2,2
impose,1,2,2
improve access,2,2,2
improve current,2,2,2
improve earlier,2,2,2
improve earlier intervention,3,2,2
improve routes,2,2,2
improve routes serving,3,2,2
improve send system,3,2,2
improve system,2,2,2
improve things,2,2,2
improved outcomes,2,2,2
improved support removed,3,2,2
improvement decade,2,2,2
improvement decade initiatives,3,2,2
improvement system,2,2,2
improvements without,2,2,2
improvements without weakening,3,2,2
improving life,2,2,2
improving life chances,3,2,2
improving maternity,2,2,2
improving maternity introducing,3,2,2
inaction indeed,2,2,2
inaction indeed action,3,2,2
inadequate,1,2,2
inadvertently,1,2,2
incentives head,2,2,2
incentives head teachers,3,2,2
incident involving,2,2,2
include better,2,2,2
include better early,3,2,2
include information,2,2,2
include specific,2,2,2
include specific training,3,2,2
included plans,2,2,2
included plans reassess,3,2,2
included proposals,2,2,2
included proposals individual,3,2,2
included schools,2,2,2
included schools white,3,2,2
includes five,2,2,2
includes five principles,3,2,2
includes make,2,2,2
includes make every,3,2,2
includes million,2,2,2
includes three,2,2,2
includes three going,3,2,2
including autism,2,2,2
including ehcps isps,3,2,2
including funding,2,2,2
including funding inclusive,3,2,2
including investing billions,3,2,2
including ipsea,2,2,2
including ipsea take,3,2,2
including million,2,2,2
including newspaper,2,2,2
including newspaper only,3,2,2
including plans boost,3,2,2
including reintroducing,2,2,2
including reintroducing targeted,3,2,2
including send tribunal,3,2,2
including some,2,2,2
inclusion base dedicated,3,2,2
inclusion base delivered,3,2,2
inclusion bases third,3,2,2
inclusion children,2,2,2
inclusion grant,2,2,2
inclusion mainstream,2,2,2
inclusion mainstream schools,3,2,2
inclusion standards ehcps,3,2,2
inclusion standards phrases,3,2,2
inclusion standards place,3,2,2
inclusion welcome,2,2,2
inclusive approach,2,2,2
inclusive capacity,2,2,2
inclusive capacity schools,3,2,2
inclusive communities,2,2,2
inclusive communities line,3,2,2
inclusive matt,2,2,2
inclusive matt wrack,3,2,2
inclusive ministers send,3,2,2
inclusive practices,2,2,2
inclusive practices reviewing,3,2,2
inclusive pupils,2,2,2
inclusive pupils special,3,2,2
inclusive school,2,2,2
inclusive speaking,2,2,2
inclusive speaking latest,3,2,2
inclusive system including,3,2,2
inclusive transform,2,2,2
inclusive transform outcomes,3,2,2
income threshold,2,2,2
income threshold required,3,2,2
incorrect,1,2,2
increase children,2,2,2
increase down,2,2,2
increase education,2,2,2
increase education funding,3,2,2
increase pupils,2,2,2
increase specialist,2,2,2
increase support,2,2,2
increased demand,2,2,2
increased demand specialist,3,2,2
increased investment,2,2,2
increased send,2,2,2
increased spending,2,2,2
increased spending send,3,2,2
increasing costs,2,2,2
increasing costs better,3,2,2
increasing numbers children,3,2,2
increasingly challenging,2,2,2
incredibly hard,2,2,2
indebted,1,2,2
indebted local,2,2,2
indeed action,2,2,2
indeed action falls,3,2,2
independent investigation,2,2,2
independent investigation into,3,2,2
independent provider,2,2,2
independent provider special,3,2,2
independent providers,2,2,2
independent provision,2,2,2
independent review,2,2,2
independent send,2,2,2
independent specialist placements,3,2,2
independent specialist school,3,2,2
index measure inflation,3,2,2
index stood,2,2,2
index stood according,3,2,2
indicating,1,2,2
individual needs ipsea,3,2,2
individual needs learned,3,2,2
individual rights,2,2,2
individual rights support,3,2,2
individual support therapy,3,2,2
individualised,1,2,2
individuals,1,2,2
industrial,1,2,2
inflation currently,2,2,2
inflation currently anyone,3,2,2
inflation three,2,2,2
informed,1,2,2
initiatives north,2,2,2
initiatives north east,3,2,2
injection,1,2,2
innovation,1,2,2
inquest into,2,2,2
inquiry identified,2,2,2
inquiry identified number,3,2,2
inquiry into nottingham,3,2,2
insisted,1,2,2
insists,1,2,2
inspect,1,2,2
inspiring,1,2,2
instagram external,2,2,2
instant,1,2,2
instantly,1,2,2
instead council,2,2,2
instead given,2,2,2
instead ipsea,2,2,2
instead ipsea risks,3,2,2
instead strategy,2,2,2
instead strategy prioritises,3,2,2
instead support,2,2,2
integrated support,2,2,2
integrated support services,3,2,2
intend,1,2,2
intend seek,2,2,2
intend seek damages,3,2,2
intended qualify,2,2,2
intended qualify ehcps,3,2,2
intense,1,2,2
intensive support,2,2,2
intensive support later,3,2,2
intent,1,2,2
interest calculated,2,2,2
interest currently,2,2,2
interest paid,2,2,2
intervention local,2,2,2
intervention local provision,3,2,2
intervention make,2,2,2
intervention make sure,3,2,2
intervention send,2,2,2
intervention universal,2,2,2
intervention universal screening,3,2,2
interview same,2,2,2
interview same programme,3,2,2
intimidation,1,2,2
into education,2,2,2
into effective,2,2,2
into home,2,2,2
into legal,2,2,2
into local,2,2,2
into mainstream,2,2,2
into making,2,2,2
into making larger,3,2,2
into nottingham,2,2,2
into send,2,2,2
intrinsic,1,2,2
introduce national,2,2,2
introduce national means-testing,3,2,2
introduced plan,2,2,2
introduced plan loans,3,2,2
introduces,1,2,2
introducing financial,2,2,2
introducing financial incentives,3,2,2
invest billion,2,2,2
invested create,2,2,2
invested create specialist,3,2,2
investigate,1,2,2
investigation lord,2,2,2
investigation lord mandelson,3,2,2
investing billions,2,2,2
investing billions tens,3,2,2
investment deliver transformation,3,2,2
investment demonstrates,2,2,2
investment exactly,2,2,2
investment exactly doing,3,2,2
investment increase,2,2,2
investment support,2,2,2
invited,1,2,2
ipsea argued,2,2,2
ipsea argued proposals,3,2,2
ipsea charity,2,2,2
ipsea charity specialising,3,2,2
ipsea concerned legal,3,2,2
ipsea concerned means,3,2,2
ipsea concerns,2,2,2
ipsea concerns spokesperson,3,2,2
ipsea described,2,2,2
ipsea described planned,3,2,2
ipsea madeleine,2,2,2
ipsea madeleine cassidy,3,2,2
ipsea risks,2,2,2
ipsea risks children,3,2,2
ipsea take,2,2,2
ipsea take place,3,2,2
ipsea warns,2,2,2
ipsea warns however,3,2,2
iron,1,2,2
ironing,1,2,2
isps alongside,2,2,2
isps alongside three,3,2,2
isps aren,2,2,2
isps aren strong,3,2,2
isps content,2,2,2
isps content ehcp,3,2,2
isps legal,2,2,2
isps legal underpinning,3,2,2
isps reminder,2,2,2
isps reminder stands,3,2,2
isps targeted,2,2,2
isps targeted targeted,3,2,2
issue parents,2,2,2
issue send,2,2,2
issue send system,3,2,2
issued local,2,2,2
issues facing,2,2,2
issues found,2,2,2
issues sector,2,2,2
issues sector contains,3,2,2
itself choice,2,2,2
itself choice because,3,2,2
jacket,1,2,2
jacket polo,2,2,2
jacket polo shirt,3,2,2
jane harris,2,2,2
jeopardise,1,2,2
jessica chapman,2,2,2
john harris,2,2,2
johnson,1,2,2
josh,1,2,2
josh macalister,2,2,2
journey absolutely,2,2,2
judges send,2,2,2
judges send tribunal,3,2,2
judging,1,2,2
juggling,1,2,2
justice released,2,2,2
justified,1,2,2
justifies,1,2,2
katherine,1,2,2
keep children,2,2,2
keeping children,2,2,2
keir starmer changes,3,2,2
keir starmer heard,3,2,2
kelly,1,2,2
kent,1,2,2
kicked,1,2,2
kicking,1,2,2
kidneys,1,2,2
kids back,2,2,2
killers,1,2,2
kindness,1,2,2
kinds,1,2,2
knife crime,2,2,2
knock,1,2,2
know changes,2,2,2
know hard,2,2,2
know long,2,2,2
know parents welcome,3,2,2
know send,2,2,2
kuenssberg programme,2,2,2
kuenssberg programme ehcps,3,2,2
labelled,1,2,2
labour backbenchers,2,2,2
labour concerned,2,2,2
labour education,2,2,2
labour leader,2,2,2
labour party,2,2,2
labour plans,2,2,2
labour send,2,2,2
labour whose,2,2,2
labour whose backing,3,2,2
lack support,2,2,2
lacked clarity,2,2,2
lacked clarity funding,3,2,2
laid plan total,3,2,2
laid plan without,3,2,2
lancashire,1,2,2
landmark billion,2,2,2
landmark billion investment,3,2,2
language therapists money,3,2,2
laptops,1,2,2
laptops children,2,2,2
laptops children dyslexia,3,2,2
large growing,2,2,2
large growing spending,3,2,2
large numbers,2,2,2
larger repayments,2,2,2
late financier,2,2,2
later programme,2,2,2
later programme minister,3,2,2
later teaching,2,2,2
later teaching unions,3,2,2
latest episode,2,2,2
latest episode look,3,2,2
latest gcse,2,2,2
latest gcse results,3,2,2
latest tranche,2,2,2
launched consultation,2,2,2
laura kuenssberg programme,3,2,2
laura trott conservatives,3,2,2
laura trott government,3,2,2
laura trott ministers,3,2,2
layer intended,2,2,2
layer intended qualify,3,2,2
layer support,2,2,2
layer support receive,3,2,2
layers needs,2,2,2
layers needs change,3,2,2
layers support receive,3,2,2
layers support well,3,2,2
laying groundwork,2,2,2
laying groundwork inclusive,3,2,2
lead fewer,2,2,2
lead fewer children,3,2,2
lead independent,2,2,2
leader davey changes,3,2,2
leader green,2,2,2
leader green party,3,2,2
leaders government needed,3,2,2
leaders hoping,2,2,2
leaders hoping government,3,2,2
leaders union,2,2,2
leaders weigh,2,2,2
leaders weigh whether,3,2,2
leading some,2,2,2
leads every,2,2,2
leads every best,3,2,2
leaked government,2,2,2
leaked plans included,3,2,2
leaked schools,2,2,2
leaked schools white,3,2,2
leaks paper,2,2,2
leaks paper reported,3,2,2
leaks suggested,2,2,2
leaks suggested pupils,3,2,2
learn every,2,2,2
learn school close,3,2,2
learned plans,2,2,2
learned plans national,3,2,2
learning difficulty,2,2,2
learning disabilities,2,2,2
learning during,2,2,2
learning support assistants,3,2,2
least babies,2,2,2
least billion,2,2,2
least once,2,2,2
least once parents,3,2,2
least three,2,2,2
leave primary,2,2,2
leave primary school,3,2,2
leave school,2,2,2
leave unanswered,2,2,2
leave unanswered questions,3,2,2
leaving children,2,2,2
leaving ehcps,2,2,2
leaving ehcps place,3,2,2
lecturers,1,2,2
left behind predecessors,3,2,2
left councils,2,2,2
left university,2,2,2
left without school,3,2,2
legal appeal feel,3,2,2
legal avenues,2,2,2
legal avenues appeals,3,2,2
legal backing,2,2,2
legal backing currently,3,2,2
legal battles,2,2,2
legal documents outlining,3,2,2
legal duty provide,3,2,2
legal foundations,2,2,2
legal foundations children,3,2,2
legal protections children,3,2,2
legal right government,3,2,2
legal right nursery,3,2,2
legal rights education,3,2,2
legal rights families,3,2,2
legal rights million,3,2,2
legal rights optional,3,2,2
legal rights parents,3,2,2
legal rights reforms,3,2,2
legal routes,2,2,2
legal routes available,3,2,2
legal status phillipson,3,2,2
legal support,2,2,2
legal support including,3,2,2
legal underpinning,2,2,2
legal underpinning meaning,3,2,2
legally enforceable rights,3,2,2
legally entitled specialist,3,2,2
legally obliged,2,2,2
legally required,2,2,2
legislation announced,2,2,2
legislation announced spend,3,2,2
legislation department,2,2,2
legislation department education,3,2,2
legislation tribunal,2,2,2
legislative,1,2,2
less providing,2,2,2
less providing children,3,2,2
letter education,2,2,2
letter education secretary,3,2,2
letters lawyers,2,2,2
level legal,2,2,2
level legal backing,3,2,2
level send support,3,2,2
level specialist,2,2,2
level specialist support,3,2,2
levels quality,2,2,2
levels quality proposed,3,2,2
liberal democrats called,3,2,2
liberal democrats education,3,2,2
lies,1,2,2
life-saving,1,2,2
lift,1,2,2
lifts,1,2,2
lifts puts,2,2,2
lifts puts limit,3,2,2
light,1,2,2
like anything,2,2,2
like hers duty,3,2,2
like money,2,2,2
like money equates,3,2,2
like nurses,2,2,2
like nurses doctors,3,2,2
like other,2,2,2
like ours must,3,2,2
like send,2,2,2
like small,2,2,2
like small group,3,2,2
likely some,2,2,2
likes,1,2,2
limit achieve,2,2,2
limit achieve means,3,2,2
limit eligibility,2,2,2
limit eligibility criteria,3,2,2
limited some,2,2,2
limited some proposals,3,2,2
limiting support,2,2,2
limits,1,2,2
lincolnshire,1,2,2
line best,2,2,2
line best practice,3,2,2
line national,2,2,2
line national reforms,3,2,2
list schools,2,2,2
list schools families,3,2,2
listen best,2,2,2
listen best radio,3,2,2
listen develop,2,2,2
listen develop test,3,2,2
listen highlights,2,2,2
listen parents,2,2,2
lists,1,2,2
little attention,2,2,2
little late,2,2,2
lives because,2,2,2
living costs,2,2,2
living here,2,2,2
loans introduced,2,2,2
loans living,2,2,2
loans thresholds,2,2,2
loans thresholds risen,3,2,2
loans written,2,2,2
lobby,1,2,2
lobbying,1,2,2
local area schools,3,2,2
local authorities already,3,2,2
local authorities detail,3,2,2
local authorities effect,3,2,2
local authorities fund,3,2,2
local authorities labour,3,2,2
local authorities parents,3,2,2
local authorities plans,3,2,2
local authorities power,3,2,2
local authorities provide,3,2,2
local authorities responsible,3,2,2
local authority concerns,3,2,2
local authority funding,3,2,2
local authority government,3,2,2
local education,2,2,2
local level,2,2,2
local provision aligning,3,2,2
local provision building,3,2,2
local provision local,3,2,2
local school children,3,2,2
local schools rather,3,2,2
local services,2,2,2
local transport,2,2,2
locality-based,1,2,2
locality-based multi-agency,2,2,2
locality-based multi-agency teams,3,2,2
located,1,2,2
locked down,2,2,2
logic,1,2,2
logical,1,2,2
long complicated,2,2,2
long complicated process,3,2,2
long period,2,2,2
long period support,3,2,2
long schools,2,2,2
long-awaited overhaul,2,2,2
long-distance travel,2,2,2
long-distance travel send,3,2,2
longer-term,1,2,2
look forward government,3,2,2
look north,2,2,2
looking back,2,2,2
looming,1,2,2
looming question,2,2,2
looming question run-up,3,2,2
lord mandelson arrested,3,2,2
lord mandelson publicly,3,2,2
lose ehcp,2,2,2
lose plan,2,2,2
lose plan dame,3,2,2
lose proposals,2,2,2
lose proposals phillipson,3,2,2
lose support money,3,2,2
losing support need,3,2,2
lottery once,2,2,2
lottery once special,3,2,2
lottery send,2,2,2
lottery send support,3,2,2
louise gittins,2,2,2
louise gittins chair,3,2,2
low-income,1,2,2
lucy,1,2,2
luke sibieta situation,3,2,2
luxford thriving,2,2,2
luxford thriving funded,3,2,2
luxford told,2,2,2
luxford told luxford,3,2,2
luxford whose,2,2,2
luxford whose teenage,3,2,2
lying,1,2,2
macalister,1,2,2
madeleine cassidy chief,3,2,2
madeleine cassidy welcomed,3,2,2
magicians,1,2,2
magnet,1,2,2
mainly,1,2,2
mainstream schooling,2,2,2
mainstream schools enabling,3,2,2
mainstream schools improvements,3,2,2
mainstream schools leaving,3,2,2
mainstream schools like,3,2,2
mainstream schools meet,3,2,2
mainstream schools speaking,3,2,2
mainstream schools support,3,2,2
mainstream secondary,2,2,2
mainstream special,2,2,2
mainstream specialist,2,2,2
mainstream staff,2,2,2
mainstream staff staff,3,2,2
maintenance grants support,3,2,2
major send,2,2,2
major send system,3,2,2
majority cases,2,2,2
make better,2,2,2
make difference,2,2,2
make education,2,2,2
make every teacher,3,2,2
make extra,2,2,2
make fairer,2,2,2
make financial,2,2,2
make financial contribution,3,2,2
make give,2,2,2
make give luxford,3,2,2
make legal,2,2,2
make legal appeal,3,2,2
make parliament,2,2,2
make parliament government,3,2,2
make real,2,2,2
make real difference,3,2,2
make reasonable,2,2,2
make reasonable adjustments,3,2,2
make send,2,2,2
make switch,2,2,2
make system sustainable,3,2,2
make your,2,2,2
makes feel,2,2,2
makes sense,2,2,2
making education,2,2,2
making larger,2,2,2
making larger repayments,3,2,2
making sure every,3,2,2
mamas peer,2,2,2
mamas peer support,3,2,2
manage transition,2,2,2
manage transition carefully,3,2,2
mandate minimum,2,2,2
mandate minimum resources,3,2,2
mandelson arrested,2,2,2
mandelson publicly,2,2,2
mandelson publicly commented,3,2,2
manipulation,1,2,2
marketing,1,2,2
marsh,1,2,2
massively,1,2,2
materialise,1,2,2
maternity introducing,2,2,2
maternity introducing financial,3,2,2
maths english,2,2,2
matthew,1,2,2
mayor,1,2,2
mean every,2,2,2
mean families tailored,3,2,2
mean happens,2,2,2
mean happens slower,3,2,2
mean parents,2,2,2
mean pupils,2,2,2
mean pupils send,3,2,2
mean smaller,2,2,2
mean smaller proportion,3,2,2
mean support child,3,2,2
mean young,2,2,2
meaning clear,2,2,2
meaning clear routes,3,2,2
meaning fewer,2,2,2
meaning legally,2,2,2
meaning some,2,2,2
meaningful employment,2,2,2
meaningfully,1,2,2
means brilliant,2,2,2
means brilliant teachers,3,2,2
means children,2,2,2
means some,2,2,2
means some children,3,2,2
means support,2,2,2
means support child,3,2,2
means tested,2,2,2
means your,2,2,2
means-testing,1,2,2
means-testing policy,2,2,2
means-testing policy families,3,2,2
meant having,2,2,2
meant having system,3,2,2
meantime,1,2,2
measurable,1,2,2
measure inflation currently,3,2,2
measures address,2,2,2
measures address concerns,3,2,2
measures aimed,2,2,2
measures tackle,2,2,2
measures tackle recruitment,3,2,2
mechanisms,1,2,2
medical checks,2,2,2
medical team,2,2,2
medicalised,1,2,2
medicalised should,2,2,2
medicalised should developed,3,2,2
meet broader,2,2,2
meet broader range,3,2,2
meet children already,3,2,2
meet common,2,2,2
meet common predictable,3,2,2
meet education,2,2,2
meet growing,2,2,2
meet pupils,2,2,2
meet rising demand,3,2,2
meets individual,2,2,2
meets individual needs,3,2,2
meets needs close,3,2,2
member children families,3,2,2
member family,2,2,2
member responsibility,2,2,2
member responsibility services,3,2,2
mencap extra,2,2,2
mencap extra funding,3,2,2
mental health conditions,3,2,2
mental health semh,3,2,2
midlands,1,2,2
might already,2,2,2
might already familiar,3,2,2
miles away,2,2,2
miles children,2,2,2
miles children aged,3,2,2
miles under-eights,2,2,2
miles under-eights three,3,2,2
million already,2,2,2
million already invested,3,2,2
million children england,3,2,2
million children special,3,2,2
million investment,2,2,2
million pupils england,3,2,2
million pupils send,3,2,2
million send,2,2,2
million send pupils,3,2,2
million train,2,2,2
millions young,2,2,2
mindful,1,2,2
mine,1,2,2
minimise,1,2,2
minimise disruption,2,2,2
minimise disruption existing,3,2,2
minimum term,2,2,2
minimum term murdering,3,2,2
minister authority,2,2,2
minister children reviewed,3,2,2
minister eluned,2,2,2
minister eluned morgan,3,2,2
minister georgia,2,2,2
minister georgia gould,3,2,2
minister however,2,2,2
minister john,2,2,2
minister lord,2,2,2
minister school,2,2,2
minister school standards,3,2,2
ministers clear,2,2,2
ministers clear plug,3,2,2
ministers planning,2,2,2
ministers send,2,2,2
ministers send stands,3,2,2
ministers should,2,2,2
ministers want,2,2,2
ministers withdrawing,2,2,2
ministers withdrawing effective,3,2,2
ministry housing,2,2,2
ministry housing communities,3,2,2
minor,1,2,2
missile,1,2,2
mistake,1,2,2
models,1,2,2
modern inclusive,2,2,2
moment build,2,2,2
moment children major,3,2,2
moment education,2,2,2
moment feels,2,2,2
moment keir,2,2,2
moment phillipson,2,2,2
moment phillipson meant,3,2,2
monday afternoon,2,2,2
monday ehcp,2,2,2
monday ehcp primary,3,2,2
monday february,2,2,2
monday phillipson,2,2,2
monday phillipson system,3,2,2
monday policy,2,2,2
monday policy paper,3,2,2
monday return,2,2,2
monday return parliament,3,2,2
monday suspicion,2,2,2
monday suspicion misconduct,3,2,2
money alone,2,2,2
money barely,2,2,2
money barely drop,3,2,2
money equates,2,2,2
money equates thousand,3,2,2
money find,2,2,2
money find down,3,2,2
money less providing,3,2,2
money less supporting,3,2,2
money needed working,3,2,2
money part,2,2,2
money part major,3,2,2
money spending,2,2,2
money system,2,2,2
money targeted,2,2,2
money targeted towards,3,2,2
monmouth,1,2,2
month part,2,2,2
month part broader,3,2,2
months ehcp,2,2,2
months ehcp unhelpful,3,2,2
months home,2,2,2
months later,2,2,2
motivated financial,2,2,2
motivated financial gain,3,2,2
move forecast,2,2,2
move forecast create,3,2,2
move next,2,2,2
move primary,2,2,2
move primary secondary,3,2,2
move special,2,2,2
move special school,3,2,2
moving primary,2,2,2
moving primary secondary,3,2,2
much contribute,2,2,2
much money,2,2,2
much readily,2,2,2
much readily available,3,2,2
multi-agency teams,2,2,2
multi-agency teams enhanced,3,2,2
multiple billions,2,2,2
multiple billions covered,3,2,2
munira wilson government,3,2,2
murdering,1,2,2
murdering holly,2,2,2
murdering holly jessica,3,2,2
must contend,2,2,2
must contend large,3,2,2
must ensure support,3,2,2
must include better,3,2,2
must listen,2,2,2
must move,2,2,2
must stocked,2,2,2
must stocked schools,3,2,2
must strengthen,2,2,2
must strengthen strip,3,2,2
must work,2,2,2
nail,1,2,2
name school,2,2,2
name school give,3,2,2
name specific,2,2,2
name specific school,3,2,2
naming,1,2,2
nasuwt teaching,2,2,2
nasuwt teaching union,3,2,2
nasuwt three,2,2,2
nasuwt three sound,3,2,2
national autistic,2,2,2
national autistic society,3,2,2
national demonstrations,2,2,2
national demonstrations response,3,2,2
national framework,2,2,2
national government,2,2,2
national headlines,2,2,2
national means-testing,2,2,2
national means-testing policy,3,2,2
national reforms,2,2,2
national reforms expected,3,2,2
national statistics,2,2,2
nationally devon,2,2,2
nationally devon seeing,3,2,2
nationals,1,2,2
natural,1,2,2
naughty,1,2,2
nearest,1,2,2
nearly doubled,2,2,2
nearly doubled government,3,2,2
nearly special,2,2,2
nearly special school,3,2,2
necessary legislation,2,2,2
necessity,1,2,2
need access appropriate,3,2,2
need among,2,2,2
need change,2,2,2
need children,2,2,2
need costs,2,2,2
need current,2,2,2
need deserve,2,2,2
need developed ensure,3,2,2
need getting,2,2,2
need getting right,3,2,2
need government plans,3,2,2
need however,2,2,2
need however only,3,2,2
need identified,2,2,2
need identified rather,3,2,2
need increased,2,2,2
need intensive,2,2,2
need intensive support,3,2,2
need know changes,3,2,2
need local school,3,2,2
need make,2,2,2
need manage,2,2,2
need manage transition,3,2,2
need need local,3,2,2
need need parents,3,2,2
need remain,2,2,2
need right right,3,2,2
need such,2,2,2
need sufficient,2,2,2
need sufficient funding,3,2,2
need without fight,3,2,2
needed aware,2,2,2
needed aware teachers,3,2,2
needed clarity,2,2,2
needed clarity white,3,2,2
needed government,2,2,2
needed government need,3,2,2
needed look,2,2,2
needed underfunding,2,2,2
needed underfunding latest,3,2,2
needed working,2,2,2
needed working give,3,2,2
needing keep,2,2,2
needing keep until,3,2,2
needing support,2,2,2
needing support charity,3,2,2
needs addressed,2,2,2
needs backed,2,2,2
needs better,2,2,2
needs block,2,2,2
needs block funding,3,2,2
needs change national,3,2,2
needs children young,3,2,2
needs classroom,2,2,2
needs close,2,2,2
needs close home,3,2,2
needs concerned,2,2,2
needs day-to-day,2,2,2
needs determines,2,2,2
needs determines layer,3,2,2
needs disabilities system,3,2,2
needs draw,2,2,2
needs education england,3,2,2
needs effectively,2,2,2
needs england ehcp,3,2,2
needs expansion,2,2,2
needs expansion legal,3,2,2
needs feel,2,2,2
needs following,2,2,2
needs following leaks,3,2,2
needs funding schools,3,2,2
needs great,2,2,2
needs great require,3,2,2
needs however,2,2,2
needs idea,2,2,2
needs idea even,3,2,2
needs including autism,3,2,2
needs ipsea,2,2,2
needs ipsea concerned,3,2,2
needs learned,2,2,2
needs learned plans,3,2,2
needs long,2,2,2
needs million,2,2,2
needs missing,2,2,2
needs need,2,2,2
needs opposed,2,2,2
needs opposed ehcp,3,2,2
needs parents,2,2,2
needs part,2,2,2
needs part send,3,2,2
needs properly,2,2,2
needs properly assessed,3,2,2
needs provision england,3,2,2
needs provision mainstream,3,2,2
needs pupil,2,2,2
needs pupil councils,3,2,2
needs should,2,2,2
needs spending unless,3,2,2
needs supported locality-based,3,2,2
needs things complicated,3,2,2
needs tribunals,2,2,2
needs tribunals disastrous,3,2,2
needs well,2,2,2
needs well support,3,2,2
needs within,2,2,2
negatively,1,2,2
neglect abuse,2,2,2
neither,1,2,2
nettle send,2,2,2
networks,1,2,2
neurotypical,1,2,2
newsletter here,2,2,2
newspaper only,2,2,2
newspaper only achieve,3,2,2
newton abbot,2,2,2
newton abbot okehampton,3,2,2
next general,2,2,2
next general election,3,2,2
next months,2,2,2
next parliamentary,2,2,2
next parliamentary session,3,2,2
next past,2,2,2
next past number,3,2,2
next stage,2,2,2
next weeks,2,2,2
nightmare,1,2,2
nine believes,2,2,2
non-disabled,1,2,2
non-statutory,1,2,2
non-verbal,1,2,2
normally really,2,2,2
normally really really,3,2,2
normally retail,2,2,2
normally retail price,3,2,2
north east coastal,3,2,2
north london,2,2,2
northern irish,2,2,2
note,1,2,2
note speech,2,2,2
nothing further,2,2,2
noting getting,2,2,2
noting getting education,3,2,2
nottingham facebook,2,2,2
nottingham facebook instagram,3,2,2
nottinghamshire,1,2,2
november budget government,3,2,2
nowhere,1,2,2
nspcc,1,2,2
number children send,3,2,2
number ehcp,2,2,2
number ehcps,2,2,2
number glaring,2,2,2
number glaring ones,3,2,2
number occasions,2,2,2
number places,2,2,2
number specialist,2,2,2
number students,2,2,2
number tribunals parents,3,2,2
numbers ehcps increasing,3,2,2
